"","CHEX","ATAC","DNase","FAIRE"
"ATAC",0.25910923109614,5.70028101058632,3.92582291289249,4.36132331175206
"DNase",0.207210380279331,3.92582291289249,6.58338783101464,4.85593162971909
"FAIRE",0.258207395940193,4.36132331175206,4.85593162971909,6.50516845507934
"MethyLow",0.595226852310976,4.575756848561,4.43129184534867,3.65326810768424
"MethyMidLow",0.41014463099917,2.18227736351832,2.71759158706923,1.01234308304788
"MethyMidHigh",0.403225668655104,1.45901518242104,1.9248853323685,0.107544280622744
"MethyHigh",0.247839260534462,0.0555760336355249,-0.111069886107067,-1.90277672306261
"GRO",0.447020768992957,2.74092514867936,2.32929329289225,2.78901840782904
"SE",0.453802316854688,3.20213538966215,2.94231684954879,3.46510736279512
"RepOrig",0.186685522054489,0.639102575643964,0.687162608249061,0.869973795518618
"Rloop",0.502530180188117,2.42865210566426,2.12349838006245,2.57757940866912
"NonBDNAPeaks_Direct",0.576736772055067,-0.430827597657359,-0.286982021498574,0.227311912329611
"NonBDNAPeaks_Inverted",-0.0555423960995682,-0.00950827984613412,-0.133287483898844,-0.223884789617742
"NonBDNAPeaks_Mirror",0.274106573600999,-0.0548189518681852,-0.31350813422754,0.199924727510737
"NonBDNAPeaks_ZDNAMotifs",0.172580091418951,0.387061140823814,0.833013261984423,1.38461007088239
"NonBDNAPeaks_ShortTandem",0.457447430136305,-0.265445073737407,-0.458111064541669,-0.26868735466314
"NonBDNAPeaks_APhased",0.134664578912854,-0.552400301198134,-1.1328506642118,-0.471617063686079
"NonBDNAPeaks_GQuadruplexForming",0.273674835145588,2.04377276795389,2.02399414669762,1.25312200454255
"H3K27me3",0.0347077655793377,0.707307970318983,0.65446939240001,-0.309971607166688
"H3K36me3",0.272667046032051,0.763277957806313,0.658342583591317,1.11321664729878
"H3K4me1",0.219092189520868,3.11814151973482,3.17287007433315,3.33408103111382
"H3K9me3",0.429755763536978,-0.00293196769774084,1.61212332927592,1.5791314203095
"H3K79me2",0.378534975377942,2.74837107356029,2.55061946948107,2.69739915606731
"H3K9me1",0.0457152649321486,2.58238542703446,2.31757778095166,2.92927466014865
"H3K4me3",0.590706652728013,4.41205320143786,4.12332001334741,4.40428509480066
"H3K9ac",0.270620111606078,3.67608422090697,3.50390750253454,3.77396829777632
"H2AFZ",0.310613232465364,3.8594631701643,3.76952684282065,4.3254902002822
"H3K4me2",0.420210074185231,4.1582919096389,4.1094551619062,4.57173295333871
"H3K27ac",0.447382956694121,4.24455308496908,4.02194791762091,4.67427364798938
"TF_HDAC3",0.376453836748833,4.89686792031371,4.83962173987473,5.7136775182094
"TF_SMARCE1",0.433641076697381,4.57256844711614,4.77387895586434,5.33255321178521
"TF_ZNF280A",0.585412754935422,1.91265067272673,3.02958294947715,2.96724798299073
"TF_DNMT1",0.78839627618181,4.71794438273195,4.03112465915769,5.30488595565739
"TF_HDAC2",0.42811444386523,4.6608861378468,4.57417369522884,5.37826691428893
"TF_NCOA1",0.474646204208646,5.00625253176578,4.88466692699663,5.80176011216246
"TF_PHB2",0.730851968218492,4.76066521017361,4.69223451808893,5.58274137978795
"TF_STAT5A",0.356330773623089,5.02054060393426,5.30557752378309,5.90535626095617
"TF_IKZF1",0.365209750565178,4.00464190861856,4.49770867067902,4.86507272309154
"TF_GATA2",0.268280999197366,4.95159022518418,5.40107610494695,5.93165709758269
