"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K27ac",0,0,0,0
