"","SampleID","Tissue","Target","BiosampleInfo"
"67","ENCFF598FRH","hindbrain","H3K27me3","HindbrainEmbryo12.5days"
"68","ENCFF934IUC","forebrain","H3K4me1","ForebrainEmbryo13.5days"
"69","ENCFF905NSD","midbrain","H3K4me1","MidbrainEmbryo14.5days"
"70","ENCFF272YNW","midbrain","H3K9me3","MidbrainEmbryo13.5days"
"71","ENCFF490XWP","midbrain","H3K27me3","MidbrainEmbryo13.5days"
"72","ENCFF105KKV","forebrain","H3K27me3","ForebrainEmbryo13.5days"
"73","ENCFF653LEE","forebrain","H3K36me3","ForebrainEmbryo16.5days"
"74","ENCFF292KQK","midbrain","H3K36me3","MidbrainPostnatal0days"
"75","ENCFF287BSQ","midbrain","H3K9me3","MidbrainPostnatal0days"
"76","ENCFF635DAB","forebrain","H3K36me3","ForebrainEmbryo15.5days"
"77","ENCFF427MDD","hindbrain","H3K4me1","HindbrainEmbryo15.5days"
"78","ENCFF085LJL","hindbrain","H3K27me3","HindbrainEmbryo11.5days"
"79","ENCFF309QKW","forebrain","H3K27me3","ForebrainEmbryo11.5days"
"80","ENCFF808SGI","hindbrain","H3K4me1","HindbrainEmbryo13.5days"
"81","ENCFF981SYI","forebrain","H3K4me1","ForebrainEmbryo14.5days"
"82","ENCFF373VJE","forebrain","H3K9me3","ForebrainEmbryo16.5days"
"83","ENCFF222CXO","forebrain","H3K27me3","ForebrainEmbryo15.5days"
"84","ENCFF198WAI","hindbrain","H3K9me3","HindbrainPostnatal0days"
"85","ENCFF054NLT","forebrain","H3K36me3","ForebrainEmbryo11.5days"
"86","ENCFF859RLS","midbrain","H3K4me1","MidbrainEmbryo15.5days"
"87","ENCFF549CYB","hindbrain","H3K36me3","HindbrainEmbryo12.5days"
"88","ENCFF356FNX","forebrain","H3K4me1","ForebrainEmbryo11.5days"
"89","ENCFF526IYN","midbrain","H3K27me3","MidbrainPostnatal0days"
"90","ENCFF527BMF","midbrain","H3K36me3","MidbrainEmbryo15.5days"
"91","ENCFF279LXD","forebrain","H3K9me3","ForebrainPostnatal0days"
"92","ENCFF869EUF","hindbrain","H3K36me3","HindbrainEmbryo15.5days"
"93","ENCFF005GVM","midbrain","H3K36me3","MidbrainEmbryo14.5days"
"94","ENCFF282QLG","forebrain","H3K36me3","ForebrainEmbryo12.5days"
"95","ENCFF796QWD","forebrain","H3K27me3","ForebrainEmbryo14.5days"
"96","ENCFF093SUW","forebrain","H3K36me3","ForebrainEmbryo13.5days"
"97","ENCFF919VWP","hindbrain","H3K4me1","HindbrainEmbryo16.5days"
"98","ENCFF910SGA","midbrain","H3K27me3","MidbrainEmbryo11.5days"
"99","ENCFF893KVM","midbrain","H3K27me3","MidbrainEmbryo12.5days"
