"","SampleID","Target"
"196","ENCFF031GIL","SREBF1"
"197","ENCFF059CYV","ELK1"
"198","ENCFF932TEL","TAF15"
"200","ENCFF518MXO","FOXA1"
"202","ENCFF500KOA","ZBED1"
"203","ENCFF795RXF","TRIP13"
"205","ENCFF941BMX","NCOA6"
"206","ENCFF708OCF","PHF8"
"207","ENCFF872IKE","RBBP5"
"208","ENCFF570XZY","PYGO2"
"210","ENCFF986OZX","NUFIP1"
"212","ENCFF687WTM","SUZ12"
"213","ENCFF090LHF","FUS"
"214","ENCFF634UIS","SAP30"
"215","ENCFF101IEH","SRSF7"
"216","ENCFF650FUP","EHMT2"
"217","ENCFF779NTZ","HNRNPL"
"218","ENCFF548GKJ","SAFB2"
"219","ENCFF541ZGX","HNRNPLL"
"220","ENCFF278VAF","ZMYM3"
"221","ENCFF955MUG","TCF7L2"
"222","ENCFF546AAY","BRD9"
"223","ENCFF215RBZ","KDM1A"
"224","ENCFF812GVV","NRF1"
"225","ENCFF123SJW","PRDM10"
"226","ENCFF330GYP","ZNF282"
"228","ENCFF521NPG","JUNB"
"229","ENCFF435LOX","MTA3"
"230","ENCFF470XDL","SNRNP70"
"232","ENCFF429WFB","ZBTB40"
"233","ENCFF828QYP","XRCC5"
"234","ENCFF807MGO","FOXK2"
"235","ENCFF457NJM","LEF1"
"236","ENCFF388XTZ","HCFC1"
"237","ENCFF289VBN","NFATC3"
"238","ENCFF833AXS","RLF"
"239","ENCFF432ZFR","CBX1"
"240","ENCFF727DQN","SETDB1"
"241","ENCFF222JOO","RUNX1"
"242","ENCFF274APB","HDAC6"
"243","ENCFF540UXO","MTA2"
"244","ENCFF290IKB","SOX6"
"245","ENCFF438XQD","GATAD2A"
"246","ENCFF745LZA","PHF21A"
"247","ENCFF706LER","CBFA2T2"
"248","ENCFF603DFR","CBFA2T3"
"249","ENCFF143LIN","GATAD2B"
"250","ENCFF645HNZ","ZNF592"
"251","ENCFF985NRC","RCOR1"
"252","ENCFF083PFA","ZNF830"
"253","ENCFF889AKD","MYBL2"
"254","ENCFF648YPL","POLR2G"
"255","ENCFF949RXP","XRCC3"
"256","ENCFF899OSC","ZC3H11A"
"257","ENCFF734QWM","NEUROD1"
"258","ENCFF062UXM","NBN"
"259","ENCFF957BZU","TBL1XR1"
"260","ENCFF782FZC","ESRRA"
"263","ENCFF801QVO","E2F6"
"264","ENCFF115QJK","HNRNPH1"
"267","ENCFF496LDY","HNRNPUL1"
"268","ENCFF161QXX","MTA1"
"269","ENCFF555GQK","TAF7"
"271","ENCFF669HFZ","MXI1"
"272","ENCFF580CVU","NR2F2"
"275","ENCFF339LVM","SMC3"
"276","ENCFF635MTS","NR2F6"
"279","ENCFF028JHS","ZNF384"
"280","ENCFF079KZJ","PML"
"281","ENCFF037CCA","POU5F1"
"284","ENCFF940VXW","MBD2"
"285","ENCFF901UYM","TBP"
"292","ENCFF224UXR","YBX1"
"293","ENCFF860OBO","EP300"
"294","ENCFF119CMI","DACH1"
"295","ENCFF916WYW","SAFB"
"296","ENCFF556BBJ","ZFP91"
"297","ENCFF474LWU","ZBTB33"
"298","ENCFF355GCP","SIN3B"
"299","ENCFF404FQO","POLR2AphosphoS5"
"301","ENCFF323UOG","SNIP1"
"302","ENCFF482HGB","DDX20"
"303","ENCFF052CVK","MLLT1"
"305","ENCFF773HPT","PTBP1"
"306","ENCFF965VTE","GMEB1"
"307","ENCFF894YAR","AFF1"
"308","ENCFF911YYM","ATF2"
"309","ENCFF050JOS","FOSL1"
"310","ENCFF556HYW","MEF2A"
"311","ENCFF625JCE","RB1"
"312","ENCFF380IDS","TAF9B"
"313","ENCFF413VIZ","MAFF"
"314","ENCFF295FVL","SP1"
"317","ENCFF391TLZ","PHF20"
"318","ENCFF873IAB","CCAR2"
"319","ENCFF958PFY","ARID3A"
"320","ENCFF914PAM","RBM39"
"321","ENCFF320ICM","TCF7"
"322","ENCFF741BCI","AGO1"
