"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.187750704683435,0.17090161309833,0.152433421659645,0.0734484269898436,0.00828745352520877,0.0858409897003367,0.0665385370780842,0.0356776809507382,0.0328123663837986,0.0420724967409676,0.0499628841490573,0.112043973274863,0.100539805104736,0.0863507322017419,0.0652113446063245,0.0720041270435485,0.0802128360967048,0.114728483058285,0.00850024271332391,0.0639044434012032,0.00749227804324296,0.0315238397120625,0.0153094616033048,0.0356738765341898,0.0548997609872689,0.0427134925706982
"ATAC",0.187750704683435,1,0.319657014822475,0.286828774062817,0.129733258200037,0.0192919794931603,0.0988431226169779,0.128244174092786,0.0656363289448579,0.0575192261997902,0.0681384200596225,0.129963532620697,0.24117541564689,0.217747403540871,0.217448435135781,0.168301391225838,0.0929382405411816,0.0979303487794029,0.248553303094171,0.00956225966874029,0.120706625323585,0.0146976204715562,0.0766573796041665,0.033398975498961,0.0939076492312148,0.12875383699623,0.114206812273114
"DNase",0.17090161309833,0.319657014822475,1,0.401111346489155,0.136908350919506,0.0228149639322261,0.103715481171548,0.155444747664022,0.0821863182310601,0.070172756459257,0.0789044160201846,0.162666334171498,0.282221795809697,0.296595469911247,0.300365360329027,0.218509279311385,0.0964435158484854,0.0971024792618138,0.311859096952808,0.0126429487798485,0.132231884805945,0.0164723841243408,0.0903248592461271,0.0369813256436206,0.114573670444638,0.148098687944446,0.137182393762614
"FAIRE",0.152433421659645,0.286828774062817,0.401111346489155,1,0.163002972194143,0.0274569829135531,0.103811767743601,0.137671019336876,0.0749717393538391,0.0694919442916477,0.0878009480155812,0.169510222701447,0.295569813203259,0.300190673787103,0.304270826774133,0.244289847427031,0.0751870807518708,0.128788514231393,0.307069590744258,0.0140222462641152,0.15636400407595,0.0187487228390437,0.106704630194563,0.0455784398902915,0.132482709277367,0.169056865241141,0.160888041956863
"GRO",0.0734484269898436,0.129733258200037,0.136908350919506,0.163002972194143,1,0.0558284948637785,0.0666901025129275,0.1269092036296,0.0557998998784238,0.0516024698618054,0.0906553866676028,0.277592773534866,0.227032511260759,0.168048089705797,0.243911666619959,0.288202843568905,0.00609091120031557,0.256587062162845,0.199288750293684,0.0200990732620701,0.307158217006232,0.0282839467539658,0.270188393448831,0.136151748078354,0.258615267106978,0.314329233023561,0.259266169154229
"SE",0.00828745352520877,0.0192919794931603,0.0228149639322261,0.0274569829135531,0.0558284948637785,1,0.0121535471994,0.0218617453298439,0.0159689793195464,0.0169200920453007,0.0231440071556351,0.0737411386391873,0.0453108096862778,0.041058064921006,0.0631978298474603,0.0952778705869251,0.000134548110560105,0.0320344349481613,0.0441959961252825,0.0166747809152872,0.0652498993500892,0.022663610898905,0.0899173174092788,0.0878272762797968,0.0959889065790149,0.0654553554381722,0.0847450572320499
"RepOrig",0.0858409897003367,0.0988431226169779,0.103715481171548,0.103811767743601,0.0666901025129275,0.0121535471994,1,0.079749263852949,0.0534207019102621,0.0511142654364798,0.0627708540819897,0.0521134087657693,0.118070548011596,0.0805738907224056,0.0779029887310142,0.0637667583865113,0.0809800707805698,0.0699254944173579,0.116968270994083,0.00971496036431101,0.0590289404448697,0.0144816423886191,0.0358837964527648,0.0200267022696929,0.0393169465169693,0.0675475395011178,0.0469532357109117
"MethylLow",0.0665385370780842,0.128244174092786,0.155444747664022,0.137671019336876,0.1269092036296,0.0218617453298439,0.079749263852949,1,0.358408441415696,0.228614747884525,0.158902543583881,0.271452223723524,0.240893739205052,0.17995565914388,0.209750551905561,0.177575971406219,0.148837806600745,0.0433234137654919,0.279658283184463,0.00948180815876516,0.134435219742555,0.0213898937245827,0.161826495304004,0.0647693387125066,0.182030291449605,0.238819007686932,0.161231320761619
"MethylMidLow",0.0356776809507382,0.0656363289448579,0.0821863182310601,0.0749717393538391,0.0557998998784238,0.0159689793195464,0.0534207019102621,0.358408441415696,1,0.474393836392477,0.28149508732033,0.146952957056442,0.156339286838097,0.102730975005989,0.114394872280635,0.0820463133417305,0.0896573654503538,0.0193356165435474,0.197760101813554,0.00942246771180245,0.0521930514070115,0.0238721255373315,0.0665804977756402,0.0330442583732057,0.0755172805820828,0.139859980388133,0.0686451742492719
"MethylMidHigh",0.0328123663837986,0.0575192261997902,0.070172756459257,0.0694919442916477,0.0516024698618054,0.0169200920453007,0.0511142654364798,0.228614747884525,0.474393836392477,1,0.459885635071911,0.111739174321187,0.151051454138702,0.0888518598150935,0.0958482747629293,0.0706073580716778,0.06025685856884,0.0238582464823363,0.186121536167806,0.0100899320026322,0.0407945580421832,0.027469792279495,0.0514246438390402,0.0334374499439372,0.0574037642775347,0.138685268384961,0.0542758049487525
