"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.934092167174094,0.892303442560685,0.729150091666955,0.314343279952756,0.028537662066808,0.575071017806416,0.537177489177489,0.319312857886517,0.283290541947124,0.296068838694008,0.353578121746373,0.458658346333853,0.505407279029463,0.488872712146423,0.378547144938597,0.37596643899733,0.277351480851359,0.493225213986208,0.106694924087135,0.258942835312912,0.0965982139754682,0.242282182171754,0.117767661674254,0.285669652155801,0.318918543712907,0.318697719620978
"ATAC",0.934092167174094,1,0.884817125035441,0.735325774971297,0.331825536922624,0.0295969077857537,0.585140997830803,0.545927773560351,0.325865209471767,0.289788475565281,0.303886152162014,0.365216756144772,0.473948845004737,0.52091669698072,0.505427260144241,0.392808857382979,0.386739526411658,0.288299509121547,0.508676829046458,0.11069066862601,0.268972846201766,0.100135964428766,0.251713395638629,0.122895375340049,0.296171583339433,0.32961771800307,0.332795895932576
"DNase",0.892303442560685,0.884817125035441,1,0.767387077475322,0.347467382962394,0.0317960139779578,0.591459101232362,0.569007719826775,0.349197247706422,0.312069229591055,0.327443464929092,0.392370572207084,0.510188418588587,0.560846560846561,0.543982192201412,0.420998080614203,0.41632183908046,0.307591924464574,0.548484848484848,0.112668525379063,0.287348819351123,0.10732250508774,0.269218953997389,0.130716946353827,0.317539548456458,0.354512995738473,0.354375455976654
"FAIRE",0.729150091666955,0.735325774971297,0.767387077475322,1,0.4180082366155,0.0390087628380288,0.580021661251354,0.572702829584738,0.383630668664034,0.353135768435562,0.380271258621488,0.459800510322431,0.601845839903534,0.65019308569327,0.633608561280502,0.506455838323353,0.457368206336975,0.373444762664914,0.627036426871682,0.133019615151656,0.349342105263158,0.129590445290826,0.326911329354824,0.159822942173667,0.384214724790015,0.424243840867655,0.431653661746733
"GRO",0.314343279952756,0.331825536922624,0.347467382962394,0.4180082366155,1,0.0850317773394696,0.341765563189673,0.387216355875084,0.328501014786895,0.340176634645181,0.440358744394619,0.608025976188494,0.573446724768063,0.51335330486328,0.549626965094591,0.647087817300583,0.245965983427824,0.702100129391858,0.524361646690985,0.174210983495802,0.702158273381295,0.192585895117541,0.661605206073753,0.356451788237852,0.655880106911035,0.681880797134723,0.638471177944862
"SE",0.028537662066808,0.0295969077857537,0.0317960139779578,0.0390087628380288,0.0850317773394696,1,0.0392412566686426,0.0442399238337036,0.0537207357859532,0.0636822935025261,0.074851665905979,0.076130286825474,0.0616366366366366,0.0555820448198352,0.0581313416009019,0.0749476368272471,0.0215558452846588,0.0879714952696892,0.0569037656903766,0.0730906104571585,0.0968082300184648,0.0971549636803874,0.108440548564965,0.159134483703095,0.0945279615153337,0.0830464716006885,0.0856988667026444
"RepOrig",0.575071017806416,0.585140997830803,0.591459101232362,0.580021661251354,0.341765563189673,0.0392412566686426,1,0.489151964622967,0.347277728759018,0.32368714490522,0.341251325556734,0.373362556705235,0.479763371949717,0.479160773220179,0.477073870427923,0.3921440426495,0.404483529890199,0.306375785748244,0.500943168077388,0.11721880467295,0.288727892606009,0.127420940047407,0.27601420423975,0.150080073209792,0.31631093544137,0.352024597425608,0.352895148669797
"MethylLow",0.537177489177489,0.545927773560351,0.569007719826775,0.572702829584738,0.387216355875084,0.0442399238337036,0.489151964622967,1,0.541196877710321,0.449258629071463,0.430613812252614,0.510042036431574,0.581948392739996,0.545403530252015,0.545996681186476,0.444945407137813,0.483598770606315,0.343577799238766,0.621217861975643,0.117173043633976,0.361852572034647,0.150234155479238,0.363121763218114,0.18925,0.399941417691857,0.474645631931677,0.41382252559727
"MethylMidLow",0.319312857886517,0.325865209471767,0.349197247706422,0.383630668664034,0.328501014786895,0.0537207357859532,0.347277728759018,0.541196877710321,1,0.657720030349014,0.537785437311504,0.432118718777549,0.474967320261438,0.431743371835538,0.435490784397771,0.377314814814815,0.405418581975205,0.29203738317757,0.522893122376493,0.118905202102592,0.297628274686095,0.181007448059584,0.307030936118923,0.187206903020071,0.336918382913806,0.407351038733734,0.351835600409536
"MethylMidHigh",0.283290541947124,0.289788475565281,0.312069229591055,0.353135768435562,0.340176634645181,0.0636822935025261,0.32368714490522,0.449258629071463,0.657720030349014,1,0.661758893280632,0.419620204505266,0.451739013211108,0.411293305387745,0.419056663501108,0.385153657480883,0.355464326160815,0.311914756215693,0.490811739820201,0.133059671605927,0.308980339886704,0.196742671009772,0.316485225505443,0.205077720207254,0.344361147327249,0.410515264093038,0.358232181761594
"MethylHigh",0.296068838694008,0.303886152162014,0.327443464929092,0.380271258621488,0.440358744394619,0.074851665905979,0.341251325556734,0.430613812252614,0.537785437311504,0.661758893280632,1,0.477599058454296,0.509648518263267,0.449193196685565,0.466525041843698,0.461825788136859,0.316670039803009,0.42249422237439,0.526778577138289,0.151586832249162,0.407932755450486,0.209151714619386,0.395082700044703,0.252453539361036,0.420689074214472,0.487487487487487,0.441756997249636
"H3K4me3",0.353578121746373,0.365216756144772,0.392370572207084,0.459800510322431,0.608025976188494,0.076130286825474,0.373362556705235,0.510042036431574,0.432118718777549,0.419620204505266,0.477599058454296,1,0.689355903026825,0.647093830589169,0.681164407129585,0.682607661194385,0.335836909871245,0.526702883409946,0.625405226596097,0.155886942951275,0.618995433789954,0.18142274580879,0.625859956648761,0.300171526586621,0.677357977711335,0.747085201793722,0.622312947842026
"H3K9ac",0.458658346333853,0.473948845004737,0.510188418588587,0.601845839903534,0.573446724768063,0.0616366366366366,0.479763371949717,0.581948392739996,0.474967320261438,0.451739013211108,0.509648518263267,0.689355903026825,1,0.726431391905232,0.761932218591838,0.677301291347283,0.458187943689087,0.510261854210899,0.781910778751934,0.157400874841259,0.521541950113379,0.186652916912198,0.505221061986225,0.246699977626967,0.571376574215622,0.653809488890518,0.601477587554166
"H2AFZ",0.505407279029463,0.52091669698072,0.560846560846561,0.65019308569327,0.51335330486328,0.0555820448198352,0.479160773220179,0.545403530252015,0.431743371835538,0.411293305387745,0.449193196685565,0.647093830589169,0.726431391905232,1,0.840081617037557,0.688837668752058,0.440130542426289,0.44994569731042,0.710939343875383,0.148167302346629,0.462315205913411,0.154776859504132,0.459017496635262,0.218842729970326,0.540351819524641,0.580969384381406,0.57154129405576
"H3K4me2",0.488872712146423,0.505427260144241,0.543982192201412,0.633608561280502,0.549626965094591,0.0581313416009019,0.477073870427923,0.545996681186476,0.435490784397771,0.419056663501108,0.466525041843698,0.681164407129585,0.761932218591838,0.840081617037557,1,0.726705091258405,0.430345141815697,0.482450286934472,0.740114718086405,0.155456004279219,0.500553786515298,0.164780909277926,0.48144783732793,0.231485370292594,0.565841756709655,0.61534749034749,0.608074704751442
"H3K27ac",0.378547144938597,0.392808857382979,0.420998080614203,0.506455838323353,0.647087817300583,0.0749476368272471,0.3921440426495,0.444945407137813,0.377314814814815,0.385153657480883,0.461825788136859,0.682607661194385,0.677301291347283,0.688837668752058,0.726705091258405,1,0.30713219934348,0.574008117286507,0.634942172255605,0.177139988285499,0.629511958344365,0.180003427004798,0.604638715432649,0.292584269662921,0.699841045566937,0.689312275424083,0.718136212907066
"H3K27me3",0.37596643899733,0.386739526411658,0.41632183908046,0.457368206336975,0.245965983427824,0.0215558452846588,0.404483529890199,0.483598770606315,0.405418581975205,0.355464326160815,0.316670039803009,0.335836909871245,0.458187943689087,0.440130542426289,0.430345141815697,0.30713219934348,1,0.212539987204095,0.477647747220597,0.0909869240348692,0.204329910393093,0.136021193807434,0.215573326104635,0.111981995964613,0.249300449014121,0.298370999935613,0.282841140529532
"H3K36me3",0.277351480851359,0.288299509121547,0.307591924464574,0.373444762664914,0.702100129391858,0.0879714952696892,0.306375785748244,0.343577799238766,0.29203738317757,0.311914756215693,0.42249422237439,0.526702883409946,0.510261854210899,0.44994569731042,0.482450286934472,0.574008117286507,0.212539987204095,1,0.471014015924196,0.175742835994501,0.711150325355685,0.204674457429048,0.5939586645469,0.38675239597234,0.573510956656048,0.604739776951673,0.592360214061635
"H3K4me1",0.493225213986208,0.508676829046458,0.548484848484848,0.627036426871682,0.524361646690985,0.0569037656903766,0.500943168077388,0.621217861975643,0.522893122376493,0.490811739820201,0.526778577138289,0.625405226596097,0.781910778751934,0.710939343875383,0.740114718086405,0.634942172255605,0.477647747220597,0.471014015924196,1,0.151431026505387,0.466424682395644,0.174634748611016,0.442866801893171,0.224754800386794,0.511873703926684,0.5869638408188,0.567569365892608
"H3K9me3",0.106694924087135,0.11069066862601,0.112668525379063,0.133019615151656,0.174210983495802,0.0730906104571585,0.11721880467295,0.117173043633976,0.118905202102592,0.133059671605927,0.151586832249162,0.155886942951275,0.157400874841259,0.148167302346629,0.155456004279219,0.177139988285499,0.0909869240348692,0.175742835994501,0.151431026505387,1,0.167770419426049,0.0948131622978249,0.171206676712646,0.135664335664336,0.176379256805714,0.169020760261636,0.179798946864528
"H3K79me2",0.258942835312912,0.268972846201766,0.287348819351123,0.349342105263158,0.702158273381295,0.0968082300184648,0.288727892606009,0.361852572034647,0.297628274686095,0.308980339886704,0.407932755450486,0.618995433789954,0.521541950113379,0.462315205913411,0.500553786515298,0.629511958344365,0.204329910393093,0.711150325355685,0.466424682395644,0.167770419426049,1,0.2077266322217,0.703077284472633,0.404875532052109,0.678666524656513,0.681206030150754,0.644276160503541
"H3K9me1",0.0965982139754682,0.100135964428766,0.10732250508774,0.129590445290826,0.192585895117541,0.0971549636803874,0.127420940047407,0.150234155479238,0.181007448059584,0.196742671009772,0.209151714619386,0.18142274580879,0.186652916912198,0.154776859504132,0.164780909277926,0.180003427004798,0.136021193807434,0.204674457429048,0.174634748611016,0.0948131622978249,0.2077266322217,1,0.19870463155322,0.205482115085537,0.186622360381606,0.199980061808394,0.192898938807894
"POLR2B",0.242282182171754,0.251713395638629,0.269218953997389,0.326911329354824,0.661605206073753,0.108440548564965,0.27601420423975,0.363121763218114,0.307030936118923,0.316485225505443,0.395082700044703,0.625859956648761,0.505221061986225,0.459017496635262,0.48144783732793,0.604638715432649,0.215573326104635,0.5939586645469,0.442866801893171,0.171206676712646,0.703077284472633,0.19870463155322,1,0.437086092715232,0.761147597649499,0.689924092752418,0.64669505271695
