"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.822942511745764,0.763620975420531,0.611156773755494,0.235924045043056,0.0180255439221801,0.40000362141706,0.369641755290189,0.206265599765086,0.183421840833502,0.200948494540642,0.237979753440262,0.35836401414355,0.384983357281871,0.365145303817072,0.270454545454545,0.280246530880181,0.209873590078569,0.383082857246825,0.0601907584035559,0.18168240153415,0.0553990958274661,0.159058198324538,0.0745372686343172,0.187122551185742,0.221793174463077,0.217082766481597
"ATAC",0.822942511745764,1,0.770028031867808,0.64037025750419,0.261233541787377,0.0196113854430126,0.412129738480217,0.38869230470117,0.219248482931747,0.196246308738133,0.215251615973351,0.260884279258655,0.392854319816615,0.420149694701595,0.400719310726425,0.298402657595831,0.299130195755041,0.227624485248772,0.417042389399697,0.0637859670872408,0.198710269924932,0.0602047562759201,0.174765626561657,0.0816142418957118,0.206592923887868,0.243265859101052,0.241595589557158
"DNase",0.763620975420531,0.770028031867808,1,0.698146586304075,0.282812399026345,0.0220110812916631,0.429890245153349,0.424205532933126,0.247509660798626,0.222313106743871,0.243396958076608,0.292418148003979,0.442647692971108,0.474142752656714,0.453391202953942,0.333866609015242,0.337207314988891,0.251776409284699,0.473132174624712,0.0666279794527909,0.21998487630982,0.0669665059355201,0.194124137334228,0.0900082219048855,0.230191700203384,0.271874256804964,0.267366143861547
"FAIRE",0.611156773755494,0.64037025750419,0.698146586304075,1,0.34922358562276,0.0280047316442464,0.422649044404298,0.425551786855429,0.269720570436247,0.2510462481674,0.284422380249564,0.34966604472567,0.523985042735043,0.551715018644382,0.533468559837728,0.413621987130549,0.342770578200983,0.313465723612622,0.540264660229933,0.0810774081322027,0.275690320461947,0.0813800657174151,0.242982456140351,0.11374941600022,0.286961997590625,0.333878040144892,0.335782029493997
"GRO",0.235924045043056,0.261233541787377,0.282812399026345,0.34922358562276,1,0.0684065729794037,0.244822810040201,0.301066874837367,0.22209319204529,0.233596206381114,0.330052423237402,0.506999664016127,0.474691491664863,0.406798375330257,0.457344668612274,0.551026992149694,0.120530499981161,0.620705128205128,0.431557327534131,0.11041239160654,0.606681181113077,0.1277352297593,0.552529182879377,0.286595213625018,0.539078027825864,0.583226671542634,0.536789297658863
"SE",0.0180255439221801,0.0196113854430126,0.0220110812916631,0.0280047316442464,0.0684065729794037,1,0.0265890628925551,0.0332269826800365,0.0365677626303128,0.0427826712205644,0.0543450828636325,0.0651618087515523,0.0479934400926105,0.0437737536329086,0.0478332938669193,0.0650715851928286,0.00758189605278389,0.0658327847267939,0.0445894263217098,0.0483604623732012,0.0812571866615562,0.0628352490421456,0.0941973554802754,0.135767380848273,0.0841381872213967,0.0698604359416654,0.0748315688161694
"RepOrig",0.40000362141706,0.412129738480217,0.429890245153349,0.422649044404298,0.244822810040201,0.0265890628925551,1,0.341016425579945,0.239627464024369,0.222549054776339,0.241120170152428,0.251308370192795,0.362784388679943,0.33824946701323,0.337611707551131,0.270949447540823,0.295106983992987,0.221885022588544,0.37403776762088,0.0677798048703101,0.198842452863686,0.0810810810810811,0.183851927421118,0.0978260869565217,0.208527954706299,0.245698127521639,0.237668161434978
"MethylLow",0.369641755290189,0.38869230470117,0.424205532933126,0.425551786855429,0.301066874837367,0.0332269826800365,0.341016425579945,1,0.478151704695622,0.376243542120319,0.350820740499369,0.437517860787916,0.502216547859701,0.432503746172389,0.439741388018992,0.353766536681366,0.385590442194216,0.248902937895128,0.535743056285244,0.0702548124119681,0.292157577229847,0.103239587041652,0.29814453952385,0.145836106304628,0.327075545331307,0.410244805595556,0.326163198503624
"MethylMidLow",0.206265599765086,0.219248482931747,0.247509660798626,0.269720570436247,0.22209319204529,0.0365677626303128,0.239627464024369,0.478151704695622,1,0.601167592197067,0.46216756149332,0.334084123408936,0.376857480580885,0.32072996643389,0.327849730512429,0.267777006708304,0.300473367342249,0.184007946362056,0.422363097968887,0.0729181245626312,0.203822347703334,0.120634447836771,0.214891885607998,0.128077435645648,0.237087399934203,0.320469347112331,0.242467645403857
"MethylMidHigh",0.183421840833502,0.196246308738133,0.222313106743871,0.2510462481674,0.233596206381114,0.0427826712205644,0.222549054776339,0.376243542120319,0.601167592197067,1,0.607054545454545,0.316162442082311,0.357173837612769,0.302925921526705,0.315169122224528,0.274882675009777,0.247364039955605,0.200853333333333,0.396260169527623,0.081448313132093,0.208439601205657,0.132238904471209,0.216718458669981,0.139779133523824,0.237789952208882,0.320644133378855,0.246539651522553
