"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.980945899965975,0.988767869298843,0.946884576098059,0.742934967654069,0.175348995573715,0.940415389853592,0.957454050374404,0.841048332198775,0.784547311095984,0.748808713410483,0.809329247531495,0.810691181477698,0.846782431052094,0.843037112700034,0.801838610827375,0.740639891082369,0.702417432754511,0.836567926455567,0.527749404153898,0.722846441947566,0.414027919645897,0.706162751106571,0.467483827034389,0.754170922710249,0.760640108954716,0.748723186925434
"ATAC",0.980945899965975,1,0.987302676733013,0.954467057606071,0.754501385041551,0.176470588235294,0.950604490500864,0.966528640441684,0.849792817679558,0.792472375690608,0.75621546961326,0.816988950276243,0.817742492233345,0.853692201518289,0.850535036244391,0.808767690714532,0.74792817679558,0.708563535911602,0.843340234644583,0.534071255620892,0.729281767955801,0.41804979253112,0.712361878453039,0.472337482710927,0.761658031088083,0.767610497237569,0.756131260794473
"DNase",0.988767869298843,0.987302676733013,1,0.955639614855571,0.750860289057123,0.177219545767378,0.949105914718019,0.967664258685931,0.850653819683414,0.792913656690746,0.757398485891259,0.817962835512732,0.819339298004129,0.855815554026153,0.852030282174811,0.810392291810048,0.749139710942877,0.709910529938059,0.845492085340674,0.53337921541638,0.730557467309016,0.418444597384721,0.713695801789401,0.472470750172058,0.762216104611149,0.768754301445286,0.756710254645561
"FAIRE",0.946884576098059,0.954467057606071,0.955639614855571,1,0.777578796561605,0.185185185185185,0.938789786638685,0.95424380020957,0.86342674707343,0.809676271789399,0.779921400500179,0.84280100035727,0.84620886981402,0.882100750267953,0.87615988579586,0.835596854896354,0.777698099677304,0.741819489392305,0.87205146533238,0.550662370211242,0.757706093189964,0.43725278676735,0.740767300107565,0.493707299532542,0.79003941239699,0.794275491949911,0.788793103448276
"GRO",0.742934967654069,0.754501385041551,0.750860289057123,0.777578796561605,1,0.232632541133455,0.758179231863442,0.757916959887403,0.777014127529591,0.772511848341232,0.792638036809816,0.870742716454657,0.877005347593583,0.855723370429253,0.861710631494804,0.886486486486487,0.796784830997527,0.892554614355774,0.839413164155432,0.555,0.909090909090909,0.51358574610245,0.898305084745763,0.618115612198452,0.906764960971379,0.89041095890411,0.889991371872304
"SE",0.175348995573715,0.176470588235294,0.177219545767378,0.185185185185185,0.232632541133455,1,0.183887283236994,0.182173295454545,0.204435483870968,0.216472617507546,0.227848101265823,0.215126050420168,0.215785054575987,0.207076799356655,0.207996768982229,0.218683651804671,0.225865209471767,0.246012566457226,0.20960520960521,0.25,0.239079379990606,0.29082774049217,0.244711538461538,0.330514446793517,0.231393775372124,0.227232142857143,0.233075874602453
"RepOrig",0.940415389853592,0.950604490500864,0.949105914718019,0.938789786638685,0.758179231863442,0.183887283236994,1,0.948968891995806,0.846859562455893,0.796526054590571,0.764308567365802,0.81333803810868,0.821175637393768,0.852806212495588,0.848923402753265,0.808127208480565,0.76329882184934,0.720756062767475,0.847433628318584,0.536159600997506,0.735346358792185,0.431965442764579,0.71977240398293,0.485272988505747,0.762393767705382,0.769748494509387,0.769889404209775
"MethylLow",0.957454050374404,0.966528640441684,0.967664258685931,0.95424380020957,0.757916959887403,0.182173295454545,0.948968891995806,1,0.872476089266737,0.811107180756986,0.775221238938053,0.829749735636235,0.831805359661495,0.865235749472203,0.860056258790436,0.819429778247096,0.769230769230769,0.725760792639774,0.859915314043754,0.538244624603454,0.743906746732603,0.431616341030195,0.725988700564972,0.487388987566607,0.771398379711166,0.783745583038869,0.770127118644068
"MethylMidLow",0.841048332198775,0.849792817679558,0.850653819683414,0.86342674707343,0.777014127529591,0.204435483870968,0.846859562455893,0.872476089266737,1,0.885556432517759,0.83614931237721,0.829121086382497,0.843144701860995,0.857999250655676,0.852489704230625,0.825642965204236,0.793595679012346,0.752318392581144,0.867752936718454,0.527535131029244,0.770030816640986,0.474610155937625,0.754534928598997,0.530043772383605,0.793037490436113,0.803756228440015,0.795157571099155
"MethylMidHigh",0.784547311095984,0.792472375690608,0.792913656690746,0.809676271789399,0.772511848341232,0.216472617507546,0.796526054590571,0.811107180756986,0.885556432517759,1,0.880267000417188,0.807410266306445,0.830144474814526,0.830786860198625,0.8300803673938,0.815031152647975,0.794635708566854,0.76027397260274,0.848273185875049,0.528339278636544,0.765245117576724,0.495541401273885,0.754104925911093,0.544500419815281,0.791204437400951,0.796596755045509,0.792678074015121
"MethylHigh",0.748808713410483,0.75621546961326,0.757398485891259,0.779921400500179,0.792638036809816,0.227848101265823,0.764308567365802,0.775221238938053,0.83614931237721,0.880267000417188,1,0.806629834254144,0.828411811652035,0.820582524271845,0.820552744258466,0.813694267515924,0.798685291700904,0.787840670859539,0.834580543521071,0.534779050736498,0.782357790601814,0.520017793594306,0.775332225913621,0.577924944812362,0.800244598450876,0.805046805046805,0.809210526315789
"H3K4me3",0.809329247531495,0.816988950276243,0.817962835512732,0.84280100035727,0.870742716454657,0.215126050420168,0.81333803810868,0.829749735636235,0.829121086382497,0.807410266306445,0.806629834254144,1,0.931006493506494,0.917981072555205,0.927323272438443,0.915014164305949,0.820143884892086,0.844619858745326,0.897919120533962,0.549723756906077,0.878914405010438,0.497083333333333,0.864683703393381,0.576292559899117,0.90460389879718,0.910899295482801,0.881578947368421
"H3K9ac",0.810691181477698,0.817742492233345,0.819339298004129,0.84620886981402,0.877005347593583,0.215785054575987,0.821175637393768,0.831805359661495,0.843144701860995,0.830144474814526,0.828411811652035,0.931006493506494,1,0.945643485211831,0.945134160993192,0.927553927553928,0.849087221095335,0.850124895920067,0.93365307753797,0.550078864353312,0.880584551148225,0.504391468005019,0.858573216520651,0.575986565910999,0.900744416873449,0.91334991708126,0.897265948632974
"H2AFZ",0.846782431052094,0.853692201518289,0.855815554026153,0.882100750267953,0.855723370429253,0.207076799356655,0.852806212495588,0.865235749472203,0.857999250655676,0.830786860198625,0.820582524271845,0.917981072555205,0.945643485211831,1,0.967882632831086,0.930622009569378,0.831893165750196,0.822186623948739,0.93125,0.547929447852761,0.849177697553149,0.48714859437751,0.826591910292351,0.552070767993567,0.8808,0.889155662264906,0.880417335473515
"H3K4me2",0.843037112700034,0.850535036244391,0.852030282174811,0.87615988579586,0.861710631494804,0.207996768982229,0.848923402753265,0.860056258790436,0.852489704230625,0.8300803673938,0.820552744258466,0.927323272438443,0.945134160993192,0.967882632831086,1,0.937048917401764,0.834055971620024,0.825824617860016,0.931480031323414,0.549653579676674,0.85668146951958,0.488709677419355,0.833937928254736,0.554523424878837,0.888486312399356,0.893848009650181,0.884320838371624
"H3K27ac",0.801838610827375,0.808767690714532,0.810392291810048,0.835596854896354,0.886486486486487,0.218683651804671,0.808127208480565,0.819429778247096,0.825642965204236,0.815031152647975,0.813694267515924,0.915014164305949,0.927553927553928,0.930622009569378,0.937048917401764,1,0.815705128205128,0.86256323777403,0.897476340694006,0.553301511535402,0.898261975413311,0.498531263113722,0.873519458544839,0.581671616461604,0.925832279814581,0.91447642886942,0.91586032814472
"H3K27me3",0.740639891082369,0.74792817679558,0.749139710942877,0.777698099677304,0.796784830997527,0.225865209471767,0.76329882184934,0.769230769230769,0.793595679012346,0.794635708566854,0.798685291700904,0.820143884892086,0.849087221095335,0.831893165750196,0.834055971620024,0.815705128205128,1,0.801954951126222,0.850638977635783,0.522467320261438,0.78942987931752,0.533905967450271,0.783885858161981,0.582701738742755,0.79926259729619,0.81447963800905,0.81954261954262
"H3K36me3",0.702417432754511,0.708563535911602,0.709910529938059,0.741819489392305,0.892554614355774,0.246012566457226,0.720756062767475,0.725760792639774,0.752318392581144,0.76027397260274,0.787840670859539,0.844619858745326,0.850124895920067,0.822186623948739,0.825824617860016,0.86256323777403,0.801954951126222,1,0.816720257234727,0.555316401205338,0.927255985267035,0.540159699389385,0.889904065783463,0.655105973025048,0.888741721854305,0.875600174596246,0.891699955614736
