"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.0975557972933634,0.0880983113701385,0.0787022701916319,0.04991435473245,0.00754727080517604,0.0532138526177381,0.032738221193086,0.016737532952018,0.015149946620944,0.0201109790436479,0.0302746605881469,0.0676556203304664,0.0576810116481397,0.0503979468250764,0.0394977024291193,0.0392866553354625,0.051173948637786,0.0704092309860111,0.00414346931200864,0.0464122065284142,0.00342140726905501,0.0169660580731032,0.00818629071852988,0.0191865898294525,0.0323561359726996,0.0222935838445808
"ATAC",0.0975557972933634,1,0.249715620720213,0.220412520466411,0.114028801736039,0.024260839298985,0.060198466652904,0.0925753549850221,0.0409397836366242,0.0327553591120595,0.0361695910258591,0.12926686864136,0.200720102294905,0.183701810909899,0.202887625867851,0.163449713949634,0.0516915607095279,0.0605015697302445,0.205276861912033,0.00448804828520914,0.113134623836104,0.0092812575277375,0.0674124627688267,0.0284361082078661,0.0865361065581492,0.115801028673613,0.101359185326945
"DNase",0.0880983113701385,0.249715620720213,1,0.346403281144593,0.119172073471626,0.0282077007845524,0.0623025386190801,0.116199148186224,0.0530566128116881,0.0409433667897447,0.0416610150759323,0.165646661580169,0.233595522293129,0.264701165149299,0.290528050256173,0.219134612846168,0.0476688762086992,0.0559198942750258,0.262897923728092,0.00728216471928076,0.123263516350236,0.0105260838671653,0.0801882919620132,0.0314830747647675,0.106788129744651,0.133220962304628,0.123866230136897
"FAIRE",0.0787022701916319,0.220412520466411,0.346403281144593,1,0.130220816836287,0.031406935033878,0.0619566051101115,0.0956355270449546,0.0412901644867829,0.0338056268819389,0.0406752459357446,0.159795577171518,0.22543919495139,0.252995276628076,0.278465745083229,0.231730912338146,0.0350167139580985,0.0728572254780999,0.237371609411721,0.00769920616467931,0.134228662500068,0.0117513216890852,0.0911476580161553,0.0374465310901338,0.119294322772132,0.140228060046189,0.140526902156105
"GRO",0.04991435473245,0.114028801736039,0.119172073471626,0.130220816836287,1,0.0565015589069311,0.0456468207117558,0.0916765248663228,0.0314874510706885,0.0266671359519452,0.0491690671393751,0.232486177243125,0.187705283916401,0.132645998032715,0.214647287197049,0.237457353956925,0.00238044858231062,0.184408857354619,0.15800872614633,0.010958166172864,0.24980493133583,0.0158971563029068,0.188278706925581,0.0990721079728904,0.183351974881076,0.242115080583706,0.186818060853366
"SE",0.00754727080517604,0.024260839298985,0.0282077007845524,0.031406935033878,0.0565015589069311,1,0.0111799568965517,0.0203894777617354,0.0123577133513616,0.0126118248469765,0.0175974681472185,0.0758740097718325,0.0517746974008232,0.0456658988140944,0.0742780192528199,0.112932138284251,3.98724082934609e-05,0.028219207971199,0.0506256590801525,0.0109714451791034,0.064447687978693,0.0151446312282296,0.0818599857290098,0.0709654603324296,0.0921071531169204,0.0644969076825084,0.0831814514924258
"RepOrig",0.0532138526177381,0.060198466652904,0.0623025386190801,0.0619566051101115,0.0456468207117558,0.0111799568965517,1,0.0455385407673316,0.0282098940641109,0.0269570159990309,0.0354008836991895,0.031394631920753,0.0788696707142934,0.0479280021175848,0.0470902574128381,0.039478148000649,0.0493373502114265,0.0465771505444577,0.0789727897905581,0.00466980123958111,0.0419924843193059,0.00683722032000345,0.0196052369243038,0.0117052380168012,0.021263225985307,0.0435088718545063,0.0255244138903578
"MethylLow",0.032738221193086,0.0925753549850221,0.116199148186224,0.0956355270449546,0.0916765248663228,0.0203894777617354,0.0455385407673316,1,0.330312351239518,0.194431750867394,0.117238010402,0.23622614332013,0.171896564247839,0.138533618280454,0.169179795794171,0.146848397029524,0.0921627667708107,0.0127637216069841,0.206316412994012,0.00419198168085539,0.0956167055833062,0.0107890045970541,0.137344098836721,0.0523349725402922,0.156420296948931,0.20070789090152,0.136261978464683
"MethylMidLow",0.016737532952018,0.0409397836366242,0.0530566128116881,0.0412901644867829,0.0314874510706885,0.0123577133513616,0.0282098940641109,0.330312351239518,1,0.440426831228104,0.2371244379951,0.106632277081798,0.0994534278346335,0.0635345827713377,0.0751038093518686,0.0527408522141404,0.0517515551190309,0.00560736332683351,0.136268192020853,0.0037525426106474,0.0287630330612343,0.0123150048611861,0.0452724059832251,0.0210248447204969,0.0516256846521384,0.0987132261847734,0.0456550733559044
"MethylMidHigh",0.015149946620944,0.0327553591120595,0.0409433667897447,0.0338056268819389,0.0266671359519452,0.0126118248469765,0.0269570159990309,0.194431750867394,0.440426831228104,1,0.41843548432927,0.0714391307561534,0.0947620492549431,0.0489446197882605,0.0547438233529884,0.0377585037857385,0.0321034640730169,0.00847589183147567,0.126518947888248,0.00412472564898206,0.0200932463686536,0.0141838444453104,0.0280768636340219,0.0182208994708995,0.0312237904675182,0.0933512082541406,0.0282768777614138
