"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"CHEX",1,0.972654247137241,0.983079815416168,0.902718413404001,0.592579928192853,0.0989912805607796,0.887673106513934,0.886153846153846,0.693333333333333,0.629059829059829,0.604273504273504,0.674645238502308,0.701829372542315,0.754146007864592,0.744229782868866,0.674816207898786,0.639145299145299,0.549666609676868,0.737391007009745,0.353393742520089,0.561121559240896,0.288938280047871,0.545221405368439,0.322619251154043,0.603351000170969,0.617883398871602,0.614976919131475
"ATAC",0.972654247137241,1,0.981821329639889,0.909676296554125,0.607970505617977,0.10015786704087,0.899319490490316,0.893802228412256,0.700087183958152,0.635665677892165,0.610083740404745,0.680732345248474,0.709052851909995,0.761506276150628,0.75261688764829,0.682667132134753,0.646535171932274,0.55652629739647,0.745029647715382,0.358781299247067,0.567411805798114,0.292994746059545,0.551441048034935,0.327960756832516,0.610829694323144,0.625109132180897,0.622424030736989
"DNase",0.983079815416168,0.981821329639889,1,0.914960083304408,0.602363573166493,0.100625651720542,0.900017358097552,0.899791594303578,0.705074730622176,0.639443961772372,0.614248479582971,0.685783802572124,0.713416753562739,0.766597149808829,0.756517205422315,0.685957594716719,0.64998262078554,0.558741744873132,0.749565519638512,0.359228362877998,0.570385818561001,0.293708724365659,0.55422314911366,0.327945776850886,0.613312478275982,0.628084810566562,0.625130344108446
"FAIRE",0.902718413404001,0.909676296554125,0.914960083304408,1,0.649255138600792,0.109659090909091,0.872340425531915,0.874440265090453,0.7338904363974,0.674640254158101,0.654344154625633,0.726422155688623,0.766754518072289,0.81922282710719,0.807317073170732,0.737992088905632,0.700603318250377,0.608292313517607,0.79913728432108,0.37816544738323,0.617913832199546,0.320075757575758,0.599735549678882,0.357129331565991,0.662702906757267,0.676215604975499,0.67838910947249
"GRO",0.592579928192853,0.607970505617977,0.602363573166493,0.649255138600792,1,0.163024726854514,0.61710870377288,0.623686186186186,0.642217856363239,0.639220183486239,0.689671814671815,0.80472364256148,0.796204033214709,0.759044216167932,0.770206022187005,0.820928518791452,0.678155565905915,0.847110865358031,0.741437206178643,0.404671236354405,0.865118850193477,0.407589407589408,0.84912475687691,0.53030303030303,0.852489406779661,0.841831425598335,0.821769409337116
"SE",0.0989912805607796,0.10015786704087,0.100625651720542,0.109659090909091,0.163024726854514,1,0.10810291858679,0.109742010011552,0.1310075628202,0.145161290322581,0.154925624473758,0.145279676031384,0.140214216163583,0.131006346328196,0.13275149288011,0.146693691411198,0.128855201254574,0.175340768277571,0.133194347926801,0.171314741035857,0.171775417298938,0.210133333333333,0.178236397748593,0.260091977516607,0.163080407701019,0.156689655172414,0.16
"RepOrig",0.887673106513934,0.899319490490316,0.900017358097552,0.872340425531915,0.61710870377288,0.10810291858679,1,0.854691689008043,0.703628660895192,0.648031203566122,0.630792227204783,0.686288983207234,0.721985552880163,0.768182655127969,0.757503222242681,0.691467703127892,0.672346002621232,0.57966929725667,0.756931608133087,0.363448534936138,0.584221349785007,0.31310818546079,0.569181801160831,0.348894817073171,0.624022346368715,0.63893541782989,0.646496815286624
"MethylLow",0.886153846153846,0.893802228412256,0.899791594303578,0.874440265090453,0.623686186186186,0.109742010011552,0.854691689008043,1,0.766099751576534,0.688118811881188,0.662409454822722,0.713454681929067,0.741004497751124,0.777695442756577,0.76924503802634,0.702460850111857,0.693548387096774,0.592718998862344,0.782657657657658,0.360855695252393,0.602081362346263,0.320338006529672,0.588090271192869,0.360261588767071,0.63796992481203,0.668373151308305,0.652926783361566
"MethylMidLow",0.693333333333333,0.700087183958152,0.705074730622176,0.7338904363974,0.642217856363239,0.1310075628202,0.703628660895192,0.766099751576534,1,0.822421102213848,0.754390018484288,0.709312259718069,0.740298507462687,0.747781217750258,0.746262458471761,0.705518857873428,0.706873905429072,0.619238476953908,0.783887468030691,0.353968604908247,0.62547065337763,0.38016330451489,0.614527629233512,0.407863571766935,0.659593086851892,0.686304682347769,0.674103237095363
"MethylMidHigh",0.629059829059829,0.635665677892165,0.639443961772372,0.674640254158101,0.639220183486239,0.145161290322581,0.648031203566122,0.688118811881188,0.822421102213848,1,0.818342151675485,0.689632255206026,0.719143298741444,0.712955122777307,0.71629993591113,0.690228229559052,0.690047825096789,0.622970110614262,0.752301622095572,0.359829666430092,0.626109294722093,0.399426784783742,0.619900966753124,0.425499231950845,0.658233670653174,0.679714483076215,0.671182548794489
