,K562,HumanAstroCulture,HumanNeuronCulture,HumanInterneuronCulture
longcores,1.46,5.57,5.50,2.26
1761_C46,0.40,1.80,0.41,0.25
839_Ag6,1.08,2.49,1.07,2.80
835_Ag2,-1.45,-1.90,-1.54,-1.00
1305_C17A,-1.04,-1.57,-1.12,-1.23
1591_C22_(PbE22),-1.25,-0.90,-0.91,-1.12
845_Ag11,-0.03,0.07,-0.80,0.17
1731_C6,-0.86,-1.12,-0.73,-1.04
850_Ag16,0.34,-0.67,0.27,0.49
