"","Br39","Br41","Br42","BRP100","BRP40","BRP43","BRP131","BRP41","BRP42","BRP126","BRP174","BRP173","BRP176","BRP175","BRP178","BRP92","BRP70","BRP76","BRP71","BRP75","BRP90","BRP119","BRP261","BRP253","BRP264","BRP255","BRP251","BRP262","BRP263","BRP254","BRP252","BRP256","BRP259","BRP260","BRP88","BRP115","BRP89","BRP165","BRP163","BRP84","BRP166","BRP164","BRP180","BRP288","BRP289","BRP291","BRP106","BRP103","BRP105","BRP83","BRP113","BRP177","BRP104","BRP102","BRP169","BRP181","BRP171","BRP107","BRP187","BRP193","BRP293","BRP295","BRP307","BRP326","BRP318","BRP328","BRP316","BRP327","BRP329","BRP330","BRP319","BRP317","BRP235","BRP234","BRP371","BRP372","BRP373","BRP374","BRP385","BRP394","Brp404","Brp405","Brp415","BRP393","Brp401","Brp402","BRP336","BRP337","BRP346","BRP347","BRP356","BRP357","BRP367","BRP376","BRP377","BRP311","BRP312","BRP321","BRP331","BRP332","BRP386","BRP387","BRP396","BRP397","BRP406","BRP416","BRP417","BRP185","BRP298","BRP299","BRP219","BRP220","BRP221","BRP223","BRP227","BRP302","BRP303","BRP304","BRP305","BRP341","BRP217","BRP300","BRP301","BRP313","BRP314","BRP315","BRP324","BRP333","BRP335","BRP338","BRP340","BRP348","BRP352","BRP353","BRP354","BRP355","BRP361","BRP343","BRP345","BRP358","BRP349","BRP359","BRP360","BRP407","BRP243","BRP226","BRP218","BRP350","BRP363","BRP325","BRP334","BRP370","BRP378","BRP368","BRP369","BRP342","BRP344","BRP351","BRP388","BRP418","BRP379","BRP380","BRP410","BRP389","BRP390","BRP398","BRP224","BRP228","BRP364","BRP399","BRP400","BRP408","BRP409","BRP306","BRP308","BRP309","Brp419","BRP381","BRP382","BRP383","BRP391","BRP392","BRP412","BRP413","BRP420","BRP421","BRP422","BRP430"
"MT-RNR2",6577,125575,45646,252899,49151,52544,1087999,144261,60881,348978,114204,310960,223651,93408,387505,317560,81025,49007,223765,36831,59697,28561,172143,677042,371622,364800,394454,329960,193163,292284,329901,337159,217515,371101,46493,45933,135087,57234,339928,120925,369379,194771,565751,125137,186968,51628,134534,88167,310697,101366,38627,118928,110148,279231,155612,155212,396199,100849,515582,529884,396393,279630,148066,388130,689447,413939,480346,201100,764991,252596,1498279,865914,320363,283413,267883,402128,35204,125508,750852,454452,28431,1277197,56711,50631,78737,82926,462033,145937,716519,511834,152103,114772,765286,613573,553254,197076,255305,457448,127066,593720,29417,553708,298229,407556,282652,459346,310031,378153,842307,1054913,98973,177874,255154,326528,242419,233481,395281,398111,450975,524122,56753,338937,1483005,130252,45237,300468,456052,727229,474776,575338,601296,801318,328792,568618,1077926,324250,628823,567664,533808,508570,183192,410203,271994,89461,234066,1201863,9490,740193,117952,73976,619228,95832,19674,363523,398530,231937,865956,509557,131717,204512,60701,485995,284286,1449631,222159,701944,602416,990222,761307,222724,328476,106822,114609,166219,681664,162571,373691,74298,31654,26932,109853,319639,22831,25127,62133,37641,13803,314283
"MT-TA",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,319,0,0,0,9,0,0,0,5,1,8,1,0,0,1,0,0,0,0,0,0,4,0,5,5,0,7,0,0,67,0,1,25,0,126,0,0,291,0,0,0,5,0,0,0,0,3,0,7,0,114,0,0,0,0,0,22,0,1,0,0,0,148,0,0,0,12,0,0,1,0,1,698,2,2,2,0,0,1,8,33,0,0,0,6,4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,18,0,0,8,2,0,0,0,2,0,23,0,0,0,0,0,72,0,0,0,0,0,0
"MT-TC",0,0,0,2,0,1,1,6,1,0,6,5,4,1,5,0,0,3,25,0,0,0,0,6,0,4,2,2,1,2,3,7,3,6,5,0,0,0,3,2,3,0,24,0,0,1,1,1,1,1,2,1,0,0,5,5,3,0,0,0,0,3,0,3,1,3,0,1,2,1,1,1,1,2,2,3,2,2,2,4,0,18,0,0,2,0,0,0,7,1,0,0,5,0,0,1,0,1,0,2,0,0,2,2,1,1,0,0,1,1,1,0,1,1,1,6,3,1,1,0,0,0,8,0,0,3,1,1,2,1,1,0,1,6,4,2,1,1,0,1,1,2,1,1,2,1,0,1,0,0,0,2,0,1,2,3,2,5,0,3,0,2,3,1,0,1,0,2,2,0,1,0,0,1,0,1,4,1,0,0,24,8,2,0,0,0,0,0
"MT-TD",0,0,0,17,4,0,15,17,9,3,4,100,6,57,134,9,0,1,9,3,5,0,0,5,6,9,10,7,0,23,5,5,7,6,0,18,7,1,1,0,2,2,80,0,67,0,56,3,16,5,1,1,2,21,2,3,3,1,6,0,3,1,0,1,2,0,1,3,7,7,36,7,0,8,1,17,0,14,5,4,3,24,0,8,9,3,5,0,4,37,1,2,5,1,16,1,1,9,16,46,0,7,75,45,32,6,5,13,7,53,2,2,3,0,0,31,2,2,3,3,1,1,5,3,6,142,3,8,10,2,0,0,3,0,2,1,1,0,10,22,0,1,0,0,11,8,0,4,0,0,64,0,0,1,25,0,3,5,2,1,0,4,6,3,3,25,4,7,25,10,4,1,4,1,2,9,11,0,0,1,8,4,4,0,1,0,0,7
"MT-TE",7,0,0,6,0,1,3,6,1,3,0,7,1,18,1898,0,0,0,0,0,0,1,0,1,0,4,1,2,0,2,1,2,4,2,0,0,11,0,0,0,0,0,0,12,1,0,2,12,2,4836,3,2,4,15,1,0,0,0,2,1,1,0,2,0,1,0,629,0,0,0,15,2,0,0,1,3,10,0,30,3,2,169,0,0,0,1,0,0,2,1,0,1,1,0,4,1,0,0,25,2,0,36,0,331,0,53,0,1,0,0,0,2,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,196,0,1,0,0,0,3,1,0,1,0,1,4,0,1,0,0,4,0,0,0,37,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,8,13,0,3,0,1,0,0,0,1,3,1,0,0,0,4,8,0,0,1,0,0,0,0
"MT-TF",0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,4,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,10,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"MT-TG",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"MT-TH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT-TI",0,0,0,1,0,0,5,21,3,0,0,10,0,1,1,52,0,0,0,1,1,1,0,118,12,3,27,22,2,44,3,4,161,3,0,0,0,13,0,11,0,44,10,102,0,0,83,9,37,0,5,0,1,22,0,11,0,34,11,0,18,25,2,36,38,5,64,3,59,0,32,1,0,0,276,117,211,66,184,35,9,163,21,0,58,128,35,0,15,11,36,38,94,39,259,0,32,40,45,81,1,1,356,449,2,54,11,0,15,51,1,4,0,0,1,86,0,0,29,61,1,24,80,3,0,28,5,2,8,13,1,23,28,58,78,0,20,1,37,34,5,8,6,32,42,26,0,0,78,2,5,95,117,26,129,0,35,27,12,26,1,71,40,160,0,106,0,0,160,28,64,101,16,13,2,1,114,247,44,0,181,93,88,1,0,0,67,0
"MT-TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT-TL1",0,0,0,1,0,0,4,0,1,5,0,3,7,0,39,3,3,4,7,1,4,0,1,2,3,0,2,0,0,0,2,2,0,2,4,0,3,0,2,27,0,1,23,0,1,0,1,0,6,0,1,0,0,0,0,1,10,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,6,2,1,1,1,0,1,0,1,0,14,0,0,1,2,1,3,2,1,4,1,0,0,0,1,0,0,3,1,0,1,2,0,1,0,1,0,0,0,0,3,0,1,3,1,0,0,2,0,0,0,0,2,0,1,0,1,0,2,2,1,0,0,2,3,0,0,0,1,0,4,0,2,0,1,0,3,2,1,0,0,4,2,10,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,0,0,2,1,1,1,1,1,0,45,4,0
"MT-TL2",0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MT-TM",0,0,0,6,0,0,2,1,0,13,0,8,0,1,0,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,5,0,0,2,0,1,1,3,0,0,9,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"MT-TN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT-TP",0,10,0,32,3,118,71,6,0,106,1,7,11,52,7,19,1,7,45,14,14,1,13,42,24,34,42,69,14,974,35,14,27,53,617,2,1,7,3,14,0,8,22,3,67,10,74,4,1,0,197,9,2,36,0,0,58,96,34,0,17,61,41,8,376,21,38,47,1480,23,1262,112,22,14,1244,2166,3664,441,44,132,25,220,26,2,422,31,29,2,46,17,30,2,136,8,57,11,17,128,1014,190,2,41,140,1866,1,39,121,5,162,84,34,167,0,148,0,38,87,7,129,14,0,24,126,1,0,86,252,333,19,4,8,137,976,51,138,7,1641,61,722,60,157,17,1,6,191,33,0,72,2213,6,27,1611,1,647,73,40,39,2780,104,90,0,58,9,181,50,665,0,140,29,36,58,0,1,28,68,44,31,488,1350,14,1579,151,113,19,287,30,2485,7
"MT-TQ",0,21,0,1,1,0,69,4,21,1,0,8,0,0,0,9,0,1,3,5,5,0,0,1,1,0,4,1,0,1,1,1,6,1,1,1,0,1,0,0,0,4,10,51,0,0,6,2,5,0,8,0,0,4,0,1,0,0,36,0,9,13,0,4,13,3,7,1,56,0,2,1,0,1,10,3,1,8,6,57,16,21,1,0,18,30,3,0,11,0,5,0,108,0,21,4,3,6,3,317,8,0,57,44,1,2,3,0,0,21,0,0,0,0,0,3,0,0,1,5,0,2,46,0,0,3,0,0,2,0,0,3,3,0,8,2,5,7,2,10,1,1,2,4,8,3,0,0,47,0,4,6,2,7,231,0,4,13,9,2,12,21,14,11,4,19,0,0,8,2,4,1,0,4,0,0,2,7,12,0,223,7,5,0,0,0,7,0
